14106,10/26/09,Mavericks,, Josh Howard,placed on IL with sore left ankle
14107,10/26/09,Rockets,, Tracy McGrady,placed on IL recovering from microfracture surgery on left knee
14108,10/27/09,Blazers,, Jeff Pendergraph / Jeff Ayres,placed on IL recovering from surgery on left hip
14109,10/27/09,Blazers,, Nicolas Batum,placed on IL with torn cartilage in right shoulder
14110,10/27/09,Blazers,, Patrick Mills / Patty Mills,placed on IL with broken right foot
14111,10/27/09,Cavaliers,, Danny Green,placed on IL
14112,10/27/09,Cavaliers,, Leon Powe,placed on IL recovering from surgery on left knee
14113,10/27/09,Celtics,, Bill Walker / Henry Walker,placed on IL recovering from surgery on right knee
14114,10/27/09,Celtics,, Glen Davis,placed on IL with broken right thumb
14115,10/27/09,Celtics,, Tony Allen,placed on IL with sore right ankle
14116,10/27/09,Clippers,, Blake Griffin,placed on IL with stress fracture in left kneecap (out for season)
14117,10/27/09,Clippers,, Brian Skinner,placed on IL
14118,10/27/09,Clippers,, Mardy Collins,placed on IL
14119,10/27/09,Lakers,, Pau Gasol,placed on IL with strained right hamstring
14120,10/27/09,Mavericks,, Shawne Williams,placed on IL
14121,10/27/09,Mavericks,, Tim Thomas,placed on IL recovering from arthroscopic surgery on right knee
14122,10/27/09,Rockets,, Brian Cook,placed on IL
14123,10/27/09,Rockets,, Yao Ming,placed on IL recovering from surgery on broken left foot (out for season)
14124,10/27/09,Wizards,, Antawn Jamison,placed on IL with separated right shoulder
14125,10/27/09,Wizards,, Javaris Crittenton,placed on IL with strained tendon in left foot
14126,10/27/09,Wizards,, Paul Davis,placed on IL
14127,10/28/09,76ers,, Jrue Holiday,placed on IL
14128,10/28/09,Bobcats,, Raja Bell,placed on IL with partially torn ligament in left wrist
14129,10/28/09,Bobcats,, Ronald Murray / Flip Murray,placed on IL with left shin injury
14130,10/28/09,Grizzlies,, Allen Iverson,placed on IL with partially torn left hamstring
14131,10/28/09,Grizzlies,, Darrell Arthur,placed on IL with surgery on right pectoral muscle
14132,10/28/09,Grizzlies,, Marko Jaric,placed on IL
14133,10/28/09,Hawks,, Othello Hunter,placed on IL
14134,10/28/09,Heat,, Chris Quinn,placed on IL with sprained right ankle
14135,10/28/09,Heat,, Shavlik Randolph,placed on IL
14136,10/28/09,Heat,, Yakhouba Diawara,placed on IL
14137,10/28/09,Hornets,, Ike Diogu,placed on IL with strained left knee
14138,10/28/09,Hornets,, Marcus Thornton (T.),placed on IL
14139,10/28/09,Hornets,, Sean Marks,placed on IL with strained neck
14140,10/28/09,Jazz,, C.J. Miles,placed on IL recovering from surgery on left thumb to repair ruptured ligament
14141,10/28/09,Jazz,, Matt Harpring,placed on IL with knee and ankle injuries
14142,10/28/09,Kings,, Francisco Garcia,placed on IL recovering from surgery to repair broken right wrist and forearm
14143,10/28/09,Kings,, Kenny Thomas,placed on IL with flu-like symptoms
14144,10/28/09,Knicks,, Eddy Curry,placed on IL with torn right plantaris (calf) muscle
