Player,Pos_x,Body Fat %,Hand Length (Inches),Hand Width (Inches),Height W/O Shoes,Height W/ Shoes,Standing Reach,Weight (Lbs),Wingspan,Year,Pos_y,Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical Leap,Max Vertical Leap,Max Bench Press,Unnamed: 8,Position,Fgm,Fga,Fgm.1,Fga.1,Fgm.2,Fga.2,Fgm.3,Fga.3,Fgm.4,Fga.4
A.J. Granger,SF,,,,79.5,,103,227,81.5,2000-2001,SF,10.73,,3.25,30,34,20,,,,,,,,,,,,
A.J. Guyton,PG-SG,,,,72.75,,97.5,175,75.75,2000-2001,PG-SG,10.55,,3.22,33,37.5,9,,,,,,,,,,,,
A.J. Price,PG,0.124,,,72.5,74,97,192.8,75.75,2009-2010,PG,10.99,,3.22,26,31,11,,,,,,,,,,,,
AJ Griffin,SF,,,,,,,,,2022-2023,SF,,,,,,,,,,,,,,,,,,
AJ Johnson,SG,,8.5,8.5,76.25,,102,167,80.5,2024-2025,SG,10.76,2.87,3.15,29,38,,,,,,,,,,,,,
AJ Lawson,SG-SF,0.044,8.5,9.25,77.5,78.75,99.5,179.2,78.75,2021-2022,SG-SF,11,3.01,2.98,33,41,,,,,,,,,,,,,
Aaron Brooks,PG,0.027,,,70,71.75,94,161,76,2007-2008,PG,10.57,,3.2,32.5,39.5,6,,,,,,,,,,,,
Aaron Craft,,,,,,,,,,2014-2015,PG,10.78,2.9,3.26,29,32,,,,,,,,,,,,,
Aaron Gordon,,,,,,,,,,2014-2015,PF,10.81,2.76,3.27,32.5,39,,,,,,,,,,,,,
Aaron Gray,C,0.108,,,84,85.75,108.5,271,87.25,2007-2008,C,12.07,,3.7,27,32.5,17,,,,,,,,,,,,
Aaron Harrison,SG,0.06,8.75,10,76.5,78,100.5,209.2,80.25,2014-2015,,,,,,,,,,,,,,,,,,,
Aaron Harrison,SG,0.06,8.75,10,76.5,78,100.5,209.2,80.25,2015-2016,SG,,,3.27,28.5,34.5,1,,,,,,,,,,,,
Aaron Henry,SF,0.056,8.5,9.25,76.5,78,103.5,209.6,82.75,2021-2022,SF,11.68,3.18,3.07,29,35,,,,,,,,,,,,,
Aaron Holiday,PG,0.064,8.75,8.5,71.75,72.75,97,187,79.5,2018-2019,PG,10.96,3.22,3.27,25.5,33,,,,,,,,,,,,,
Aaron McGhee,PF-SF,,,,79,,105.5,255,82,2002-2003,PF-SF,12.24,,,26,28.5,,,,,,,,,,,,,
Aaron Miles,PG,,,,72,73.5,94,174.6,75.5,2005-2006,PG,10.69,,3.22,32,37.5,7,,,,,,,,,,,,
Aaron Wiggins,SG-SF,0.05,8.75,8.5,76.5,77,103,190,81.75,2021-2022,SG-SF,11.2,3,3.04,29.5,36,,,,,,,,,,,,,
"Abmas, Max   ",,,,,,,,,,2021,,,,,,,,,G,23,30,21,25,12,25,,,,
Acie Law,PG,0.056,,,74,75.5,98,186,78.5,2007-2008,PG,11,,3.22,29,34,8,,,,,,,,,,,,
Adam Allenspach,C,0.124,,,83.5,,107,259,84.5,2001-2002,C,11.9,,3.4,28.5,31,16,,,,,,,,,,,,
Adam Flagler,PG,,8,9.25,73,,97,191.8,76.5,2023-2024,PG,10.96,,3.24,31,36,,,,,,,,,,,,,
Adam Morrison,SF,0.068,,,78.5,79.75,105,198,82,2006-2007,SF,11.46,,3.37,25.5,30.5,11,,,,,,,,,,,,
Adama Sanogo,C,,9.75,10,79.25,,108.5,257.8,86.75,2023-2024,C,11.5,,3.31,28.5,31,,,,,,,,,,,,,
Adem Bona,C,,9.25,10,80.25,,110.5,243.4,,2023-2024,C,,,,,,,,,,,,,,,,,,
Adem Bona,C,,9.5,10,80.25,,108,243.2,87.75,2024-2025,C,11.01,3.01,3.15,35,40,,,,,,,,,,,,,
Admiral Schofield,SF,0.068,8.75,9,76,77.25,102.5,240.6,81.75,2019-2020,SF,10.77,2.87,3.37,30,34,15,,,,,,,,,,,,
Adonis Thomas,SF,0.075,9.25,9.5,76.75,77.75,99,231.8,85,2013-2014,,,,,,,,,,,,,,,,,,,
Adreian Payne,,,,,,,,,,2014-2015,PF,,,,,,,,,,,,,,,,,,
Aerick Sanders,PF,0.067,,,78.5,79.5,106,205,83.5,2004-2005,PF,11.98,,3.37,24.5,30.5,9,,,,,,,,,,,,
"Agbaji, Ochai   ",,,,,,,,,,2021,,,,,,,,,SG,21,30,15,25,11,25,,,,
Ajay Mitchell,PG,,8.5,8.5,75.25,,101,197,78.25,2024-2025,PG,11.12,2.95,3.11,28,33.5,,,,,,,,,,,,,
"Ajayi, Michael   ",,,,,,,,,,2024,,,,,,,,,SF,15,30,17,25,13,25,15,25,6,10
"Ajinca, Melvin   ",,,,,,,,,,2024,,,,,,,,,SF,18,30,17,25,14,25,17,26,9,10
Al Horford,PF,0.091,,,80,81.75,107,246,84.75,2007-2008,PF,12.15,,3.37,31,35.5,20,,,,,,,,,,,,
Al Jefferson,PF-SF,0.105,,,80.5,81.75,110,263,86.5,2004-2005,PF-SF,13.08,,3.29,28.5,30,3,,,,,,,,,,,,
Al Thornton,SF,0.058,,,77.75,79,104,221,85,2007-2008,SF,11.96,,3.16,35,41,9,,,,,,,,,,,,
Al-Farouq Aminu,SF,0.082,9.5,9.5,79.25,80.5,108.5,216,87.25,2010-2011,SF,11.29,,3.3,27,33.5,13,,,,,,,,,,,,
Alan Anderson,SG-SF,,,,76.5,78,104,223.2,81.5,2005-2006,SG-SF,10.32,,3.27,26.5,30.5,10,,,,,,,,,,,,
Alan Williams,PF,0.12,8.5,9.5,79.25,80.25,106.5,261.4,85.75,2014-2015,,,,,,,,,,,,,,,,,,,
Alan Williams,PF,0.12,8.5,9.5,79.25,80.25,106.5,261.4,85.75,2015-2016,PF,12.26,3.54,3.5,25.5,28.5,8,,,,,,,,,,,,
Alec Brown,,,,,,,,,,2014-2015,PF,12.05,2.91,3.48,27,30,,,,,,,,,,,,,
Alec Burks,SG,0.051,9,8.25,77,78,103.5,192.6,82,2011-2012,SG,10.96,,3.17,29,36,5,,,,,,,,,,,,
Alec Peters,PF,0.088,8.75,10,79.25,80.75,105,232,82.75,2017-2018,PF,,,,,,,,,,,,,,,,,,
Aleks Maric,C,0.101,,,81.75,82.75,109.5,273,85,2008-2009,C,11.76,,3.35,23,28,15,,,,,,,,,,,,
Aleksandar Capin,PG,0.093,,,72,73.25,94,176,73.5,2004-2005,PG,11.5,,3.27,23,29,4,,,,,,,,,,,,
Aleksander Djuric,C-PF,0.163,,,82,,108,253,84,2003-2004,C-PF,11.97,,3.65,23.5,27.5,3,,,,,,,,,,,,
Ales Chan,C,0.148,,,84,86,113,255,87,2004-2005,C,12.9,,3.62,21,29,2,,,,,,,,,,,,
Alex Acker,SG,,,,75.75,76.75,102.5,183,84,2005-2006,SG,11.67,,3.35,28,32,11,,,,,,,,,,,,
Alex Karaban,PF,,8.75,9.25,78.5,,106.5,219.2,83,2024-2025,PF,11.23,,3.2,22.5,32,,,,,,,,,,,,,
