Rank_x,Player,Team_x,Age_x,Gp_x,W_x,L_x,Min_x,Pts,Fgm_x,Fga_x,Fg%,3Pm,3Pa,3P%,Ftm,Fta,Ft%,Oreb,Dreb,Reb,Ast,Tov,Stl,Blk,Pf,Fp,Dd2,Td3,Plus/Minus,Year_x,Rank_y,Team_y,Age_y,Gp_y,W_y,L_y,Min_y,Usg%,%Fgm,%Fga,%3Pm,%3Pa,%Ftm,%Fta,%Oreb,%Dreb,%Reb,%Ast,%Tov,%Stl,%Blk,%Blka,%Pf,%Pfd,%Pts,Pos_x,Body Fat %,Hand Length (Inches),Hand Width (Inches),Height W/O Shoes,Height W/ Shoes,Standing Reach,Weight (Lbs),Wingspan,Pos_y,Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical Leap,Max Vertical Leap,Max Bench Press,Unnamed: 8,Position,Fgm_y,Fga_y,Fgm.1,Fga.1,Fgm.2,Fga.2,Fgm.3,Fga.3,Fgm.4,Fga.4,Team,Startdate,Enddate,Injurylengthdays,Injurynotes,Injurytype,Year_y
257.0,AL-FAROUQ AMINU,LAC,20.0,81.0,31.0,50.0,17.9,5.6,2.0,5.0,39.4,0.6,1.8,31.5,1.1,1.5,77.3,0.9,2.4,3.3,0.7,1.3,0.7,0.3,1.5,12.5,0.0,0.0,-2.3,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SF,0.082,9.5,9.5,79.25,80.5,108.5,216.0,87.25,SF,11.29,,3.3,27.0,33.5,13.0,,,,,,,,,,,,,Blazers,2016-12-05,2016-12-13,8.0,activated from IL,,2016.0
257.0,AL-FAROUQ AMINU,LAC,20.0,81.0,31.0,50.0,17.9,5.6,2.0,5.0,39.4,0.6,1.8,31.5,1.1,1.5,77.3,0.9,2.4,3.3,0.7,1.3,0.7,0.3,1.5,12.5,0.0,0.0,-2.3,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SF,0.082,9.5,9.5,79.25,80.5,108.5,216.0,87.25,SF,11.29,,3.3,27.0,33.5,13.0,,,,,,,,,,,,,Blazers,2016-12-21,2017-11-02,316.0,activated from IL,,2016.0
418.0,ANDY RAUTINS,NYK,24.0,5.0,2.0,3.0,4.8,1.6,0.6,1.4,42.9,0.2,0.8,25.0,0.2,0.4,50.0,0.0,0.2,0.2,0.6,1.4,0.2,0.0,0.0,1.9,0.0,0.0,-2.2,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG,0.062,8.0,9.75,76.25,77.0,100.0,191.6,79.0,SG,11.27,,3.49,23.5,30.5,8.0,,,,,,,,,,,,,Knicks,2011-01-04,2011-01-19,15.0,activated from IL,,2011.0
418.0,ANDY RAUTINS,NYK,24.0,5.0,2.0,3.0,4.8,1.6,0.6,1.4,42.9,0.2,0.8,25.0,0.2,0.4,50.0,0.0,0.2,0.2,0.6,1.4,0.2,0.0,0.0,1.9,0.0,0.0,-2.2,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG,0.062,8.0,9.75,76.25,77.0,100.0,191.6,79.0,SG,11.27,,3.49,23.5,30.5,8.0,,,,,,,,,,,,,Knicks,2011-01-28,2011-02-04,7.0,activated from IL,,2011.0
418.0,ANDY RAUTINS,NYK,24.0,5.0,2.0,3.0,4.8,1.6,0.6,1.4,42.9,0.2,0.8,25.0,0.2,0.4,50.0,0.0,0.2,0.2,0.6,1.4,0.2,0.0,0.0,1.9,0.0,0.0,-2.2,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG,0.062,8.0,9.75,76.25,77.0,100.0,191.6,79.0,SG,11.27,,3.49,23.5,30.5,8.0,,,,,,,,,,,,,Knicks,2011-02-06,2011-02-16,10.0,activated from IL,,2011.0
418.0,ANDY RAUTINS,NYK,24.0,5.0,2.0,3.0,4.8,1.6,0.6,1.4,42.9,0.2,0.8,25.0,0.2,0.4,50.0,0.0,0.2,0.2,0.6,1.4,0.2,0.0,0.0,1.9,0.0,0.0,-2.2,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG,0.062,8.0,9.75,76.25,77.0,100.0,191.6,79.0,SG,11.27,,3.49,23.5,30.5,8.0,,,,,,,,,,,,,Knicks,2011-03-06,2011-03-09,3.0,activated from IL,,2011.0
368.0,ARMON JOHNSON,POR,22.0,38.0,20.0,18.0,7.3,2.9,1.2,2.7,45.5,0.1,0.3,41.7,0.3,0.6,59.1,0.3,0.7,0.9,1.2,1.0,0.1,0.0,0.8,5.3,0.0,0.0,-0.6,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,PG-SG,0.056,8.25,9.25,74.0,75.25,99.5,195.2,80.0,PG-SG,11.25,,3.19,31.5,38.5,18.0,,,,,,,,,,,,,Blazers,2012-01-16,2012-01-20,4.0,activated from IL,,2012.0
368.0,ARMON JOHNSON,POR,22.0,38.0,20.0,18.0,7.3,2.9,1.2,2.7,45.5,0.1,0.3,41.7,0.3,0.6,59.1,0.3,0.7,0.9,1.2,1.0,0.1,0.0,0.8,5.3,0.0,0.0,-0.6,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,PG-SG,0.056,8.25,9.25,74.0,75.25,99.5,195.2,80.0,PG-SG,11.25,,3.19,31.5,38.5,18.0,,,,,,,,,,,,,Blazers,2012-02-01,2012-02-04,3.0,activated from IL,,2012.0
368.0,ARMON JOHNSON,POR,22.0,38.0,20.0,18.0,7.3,2.9,1.2,2.7,45.5,0.1,0.3,41.7,0.3,0.6,59.1,0.3,0.7,0.9,1.2,1.0,0.1,0.0,0.8,5.3,0.0,0.0,-0.6,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,PG-SG,0.056,8.25,9.25,74.0,75.25,99.5,195.2,80.0,PG-SG,11.25,,3.19,31.5,38.5,18.0,,,,,,,,,,,,,Blazers,2012-02-06,2012-02-08,2.0,activated from IL,,2012.0
368.0,ARMON JOHNSON,POR,22.0,38.0,20.0,18.0,7.3,2.9,1.2,2.7,45.5,0.1,0.3,41.7,0.3,0.6,59.1,0.3,0.7,0.9,1.2,1.0,0.1,0.0,0.8,5.3,0.0,0.0,-0.6,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,PG-SG,0.056,8.25,9.25,74.0,75.25,99.5,195.2,80.0,PG-SG,11.25,,3.19,31.5,38.5,18.0,,,,,,,,,,,,,Blazers,2012-02-15,2012-02-18,3.0,activated from IL,,2012.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Celtics,2010-11-21,2011-01-14,54.0,activated from IL,,2010.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Celtics,2011-02-07,2011-03-31,52.0,activated from IL,,2011.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Celtics,2011-04-01,2011-04-03,2.0,activated from IL,,2011.0
