Player,Team,Year,Round Number,Round Pick
Zaccharie Risacher,Atlanta Hawks,2024,1,1
Alex Sarr,Washington Wizards,2024,1,2
Reed Sheppard,Houston Rockets,2024,1,3
Stephon Castle,San Antonio Spurs,2024,1,4
Ronald Holland II,Detroit Pistons,2024,1,5
Tidjane Salaün,Charlotte Hornets,2024,1,6
Donovan Clingan,Portland Trail Blazers,2024,1,7
Rob Dillingham,San Antonio Spurs,2024,1,8
Zach Edey,Memphis Grizzlies,2024,1,9
Cody Williams,Utah Jazz,2024,1,10
Matas Buzelis,Chicago Bulls,2024,1,11
Nikola Topić,Oklahoma City Thunder,2024,1,12
Devin Carter,Sacramento Kings,2024,1,13
Bub Carrington,Portland Trail Blazers,2024,1,14
Kel'el Ware,Miami Heat,2024,1,15
Jared McCain,Philadelphia 76ers,2024,1,16
Dalton Knecht,Los Angeles Lakers,2024,1,17
Tristan da Silva,Orlando Magic,2024,1,18
Ja'Kobe Walter,Toronto Raptors,2024,1,19
Jaylon Tyson,Cleveland Cavaliers,2024,1,20
Yves Missi,New Orleans Pelicans,2024,1,21
DaRon Holmes II,Phoenix Suns,2024,1,22
AJ Johnson,Milwaukee Bucks,2024,1,23
Kyshawn George,New York Knicks,2024,1,24
Pacôme Dadiet,New York Knicks,2024,1,25
Dillon Jones,Washington Wizards,2024,1,26
Terrence Shannon Jr.,Minnesota Timberwolves,2024,1,27
Ryan Dunn,Denver Nuggets,2024,1,28
Isaiah Collier,Utah Jazz,2024,1,29
Baylor Scheierman,Boston Celtics,2024,1,30
Jonathan Mogbo,Toronto Raptors,2024,2,1
Kyle Filipowski,Utah Jazz,2024,2,2
Tyler Smith,Milwaukee Bucks,2024,2,3
Tyler Kolek,Portland Trail Blazers,2024,2,4
Johnny Furphy,San Antonio Spurs,2024,2,5
Juan Nunez,Indiana Pacers,2024,2,6
Bobi Klintman,Minnesota Timberwolves,2024,2,7
Ajay Mitchell,New York Knicks,2024,2,8
Jaylen Wells,Memphis Grizzlies,2024,2,9
Oso Ighodaro,Portland Trail Blazers,2024,2,10
Adem Bona,Philadelphia 76ers,2024,2,11
KJ Simpson,Charlotte Hornets,2024,2,12
Nikola Djurisic,Miami Heat,2024,2,13
Pelle Larsson,Houston Rockets,2024,2,14
Jamal Shead,Sacramento Kings,2024,2,15
Cam Christie,LA Clippers,2024,2,16
Antonio Reeves,Orlando Magic,2024,2,17
Harrison Ingram,San Antonio Spurs,2024,2,18
Tristen Newton,Indiana Pacers,2024,2,19
Enrique Freeman,Indiana Pacers,2024,2,20
Victor Wembanyama,San Antonio Spurs,2023,1,1
Brandon Miller,Charlotte Hornets,2023,1,2
Scoot Henderson,Portland Trail Blazers,2023,1,3
Amen Thompson,Houston Rockets,2023,1,4
Ausar Thompson,Detroit Pistons,2023,1,5
Anthony Black,Orlando Magic,2023,1,6
Bilal Coulibaly,Indiana Pacers,2023,1,7
Jarace Walker,Washington Wizards,2023,1,8
Taylor Hendricks,Utah Jazz,2023,1,9
Cason Wallace,Dallas Mavericks,2023,1,10
Jett Howard,Orlando Magic,2023,1,11
Dereck Lively II,Oklahoma City Thunder,2023,1,12
Gradey Dick,Toronto Raptors,2023,1,13
Jordan Hawkins,New Orleans Pelicans,2023,1,14
Kobe Bufkin,Atlanta Hawks,2023,1,15
Keyonte George,Utah Jazz,2023,1,16
Jalen Hood-Schifino,Los Angeles Lakers,2023,1,17
Jaime Jaquez Jr.,Miami Heat,2023,1,18
Brandin Podziemski,Golden State Warriors,2023,1,19
Cam Whitmore,Houston Rockets,2023,1,20
Noah Clowney,Brooklyn Nets,2023,1,21
Dariq Whitehead,Brooklyn Nets,2023,1,22
Kris Murray,Portland Trail Blazers,2023,1,23
