Player_clean,Career_Arc,Perf_Tier,Seasons_Played,Avg_PPG,Injury_Count,Avg_Injury_Days,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),WEIGHT (LBS),Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical Leap,Max Vertical Leap,Max Bench Press
aaron brooks,Late (8+ yrs),25–50%,8,0.13406282861001206,2,50.0,0.027,,,161.0,10.57,,3.2,32.5,39.5,6.0
aaron gray,Mid (4–7 yrs),Bottom 25%,5,0.07472838162951403,4,237.5,0.108,,,271.0,12.07,,3.7,27.0,32.5,17.0
aaron holiday,Mid (4–7 yrs),Bottom 25%,7,0.10089430385282919,1,24.0,0.064,8.75,8.5,187.0,10.96,3.22,3.27,25.5,33.0,
acie law,Early (1–3 yrs),Bottom 25%,2,0.12386877828054299,2,30.0,0.056,,,186.0,11.0,,3.22,29.0,34.0,8.0
adam morrison,Early (1–3 yrs),Bottom 25%,1,0.07741935483870968,1,14.0,0.068,,,198.0,11.46,,3.37,25.5,30.5,11.0
adem bona,Early (1–3 yrs),Bottom 25%,1,0.09999999999999999,0,,,9.5,10.0,243.2,11.01,3.01,3.15,35.0,40.0,
admiral schofield,Mid (4–7 yrs),Bottom 25%,4,0.08806217284478154,1,334.0,0.068,8.75,9.0,240.6,10.77,2.87,3.37,30.0,34.0,15.0
aj griffin,Early (1–3 yrs),Bottom 25%,2,0.12180555555555556,0,,,,,,,,,,,
aj johnson,Early (1–3 yrs),50–75%,1,0.26206896551724135,0,,,8.5,8.5,167.0,10.76,2.87,3.15,29.0,38.0,
ajay mitchell,Early (1–3 yrs),25–50%,1,0.18055555555555555,0,,,8.5,8.5,197.0,11.12,2.95,3.11,28.0,33.5,
al farouq aminu,Late (8+ yrs),Bottom 25%,11,0.12452832940742166,1,8.0,0.082,9.5,9.5,216.0,11.29,,3.3,27.0,33.5,13.0
al horford,Late (8+ yrs),Top 25%,16,0.2886660074348007,11,109.45454545454545,0.091,,,246.0,12.15,,3.37,31.0,35.5,20.0
al jefferson,Late (8+ yrs),50–75%,9,0.23569934592636343,3,33.666666666666664,0.105,,,263.0,13.08,,3.29,28.5,30.0,3.0
al thornton,Early (1–3 yrs),Bottom 25%,2,0.12344600938967136,2,48.0,0.058,,,221.0,11.96,,3.16,35.0,41.0,9.0
alec burks,Late (8+ yrs),50–75%,14,0.21146543192509423,7,156.85714285714286,0.051,9.0,8.25,192.6,10.96,,3.17,29.0,36.0,5.0
alex len,Late (8+ yrs),Bottom 25%,12,0.0983520517827583,8,199.125,0.064,9.0,10.75,,,,,,,
alize johnson,Mid (4–7 yrs),50–75%,5,0.19981650631267,3,19.0,0.081,8.5,9.75,216.6,11.83,3.28,3.38,25.0,31.0,8.0
allen crabbe,Mid (4–7 yrs),25–50%,7,0.14250803129989492,4,104.25,0.0465,8.25,8.5,197.4,10.67,3.1,3.32,30.5,36.0,10.0
amare stoudemire,Mid (4–7 yrs),50–75%,7,0.2796560754615037,0,,,,,233.0,11.19,,3.25,32.0,35.5,12.0
amari bailey,Early (1–3 yrs),50–75%,1,0.22999999999999998,0,,,8.0,9.25,190.8,11.34,,3.19,28.5,35.0,
amen thompson,Early (1–3 yrs),25–50%,2,0.17878681626928472,0,,,8.5,8.5,214.2,,,,,,
andre drummond,Late (8+ yrs),50–75%,13,0.18206632115291194,3,614.0,0.075,9.5,9.5,278.6,10.83,,3.39,31.5,33.5,10.0
andre emmett,Early (1–3 yrs),Top 25%,1,0.3666666666666667,0,,0.067,,,216.0,,,,,,
andre iguodala,Late (8+ yrs),25–50%,14,0.14972064853822212,11,55.81818181818182,0.067,,,217.0,11.17,,3.18,30.5,34.5,4.0
andre jackson,Early (1–3 yrs),Bottom 25%,2,0.0446713799423933,0,,,8.25,9.5,198.4,10.83,,3.14,30.5,39.5,
andre roberson,Mid (4–7 yrs),25–50%,7,0.14755040621663656,5,28.4,0.0705,8.75,9.5,205.8,11.36,3.02,3.34,30.0,36.5,10.0
andrew bogut,Late (8+ yrs),50–75%,10,0.2318491683557388,9,18.88888888888889,,,,250.6,12.06,,3.51,27.5,33.5,13.0
andrew goudelock,Early (1–3 yrs),Bottom 25%,2,0.05500000000000001,0,,0.099,8.25,9.25,197.6,10.33,,3.1,32.5,37.0,4.0
andrew harrison,Early (1–3 yrs),25–50%,3,0.14660753190164955,2,164.0,0.059,8.25,9.25,213.2,11.2,,3.34,26.5,33.0,
andrew nembhard,Early (1–3 yrs),25–50%,3,0.1386023127199598,0,,0.044,8.0,9.5,195.6,10.46,3.02,3.26,26.5,35.0,
andrew nicholson,Mid (4–7 yrs),Bottom 25%,5,0.09862706766917292,1,10.0,0.076,10.0,10.75,234.0,11.89,,3.67,28.5,30.5,10.0
andris biedrins,Mid (4–7 yrs),Bottom 25%,5,0.07303968451809154,3,62.666666666666664,0.093,,,,,,,,,
andy rautins,Early (1–3 yrs),Top 25%,1,0.32,0,,0.062,8.0,9.75,191.6,11.27,,3.49,23.5,30.5,8.0
anfernee simons,Mid (4–7 yrs),50–75%,7,0.2630423449552553,4,100.0,0.077,8.75,9.0,183.2,11.27,3.16,3.1,32.0,41.5,1.0
anthony black,Early (1–3 yrs),Bottom 25%,2,0.09358974358974359,0,,,8.25,9.5,210.0,11.04,,3.35,32.0,39.0,
anthony brown,Early (1–3 yrs),Top 25%,3,1.1641588296760712,3,8.666666666666666,0.061,8.5,9.0,211.0,10.94,3.29,3.18,27.5,34.5,4.0
anthony davis,Late (8+ yrs),Top 25%,13,0.41287742071728734,8,150.625,0.079,9.0,8.5,221.8,,,,,,
anthony randolph,Mid (4–7 yrs),50–75%,5,0.193132382437444,2,156.5,0.047,,,197.0,11.86,,3.26,29.0,35.0,7.0
antoine wright,Early (1–3 yrs),Bottom 25%,2,0.0699360341151386,2,11.5,,,,202.6,11.45,,3.41,26.5,29.5,12.0
antonio reeves,Early (1–3 yrs),25–50%,1,0.15681818181818183,0,,,9.0,10.0,186.6,11.44,3.16,3.14,29.0,36.0,
archie goodwin,Mid (4–7 yrs),50–75%,4,0.21263655738784107,2,5.5,0.0455,8.5,9.0,189.0,10.75,3.41,3.27,30.0,36.0,1.0
armon johnson,Early (1–3 yrs),Top 25%,2,0.32704678362573103,0,,0.056,8.25,9.25,195.2,11.25,,3.19,31.5,38.5,18.0
arnett moultrie,Early (1–3 yrs),25–50%,2,0.16436170212765958,1,295.0,0.077,9.25,9.25,232.8,11.32,,3.22,33.5,37.5,10.0
ausar thompson,Early (1–3 yrs),25–50%,2,0.1554344901802529,0,,,8.75,9.25,218.2,,,,,,
austin daye,Mid (4–7 yrs),Bottom 25%,6,0.10377673009176035,2,12.5,0.055,,,191.8,12.11,,3.55,25.0,28.0,
austin rivers,Late (8+ yrs),25–50%,11,0.13519054013986087,8,91.375,0.062,8.5,10.0,202.8,11.54,,3.32,32.5,37.5,1.0
avery bradley,Late (8+ yrs),50–75%,12,0.1888825524853667,10,143.5,0.04,8.25,9.5,180.4,11.47,,3.14,31.5,37.5,2.0
ayo dosunmu,Mid (4–7 yrs),25–50%,4,0.16242583360575352,1,47.0,0.049,8.5,8.75,194.4,11.51,3.27,3.23,27.0,33.5,
baylor scheierman,Early (1–3 yrs),Bottom 25%,1,0.11612903225806452,0,,,9.25,9.75,201.6,10.89,2.94,3.09,27.5,32.0,
ben gordon,Mid (4–7 yrs),50–75%,6,0.1888804093289165,1,26.0,0.053,,,192.0,11.28,,3.19,31.5,37.5,12.0
ben mclemore,Late (8+ yrs),25–50%,9,0.14316378729970267,0,,0.05,8.75,9.5,189.2,11.87,3.11,3.27,32.5,42.0,6.0
ben sheppard,Early (1–3 yrs),Bottom 25%,2,0.08065998329156224,0,,,8.5,9.5,194.6,10.88,2.98,3.17,29.5,35.5,
bennedict mathurin,Early (1–3 yrs),50–75%,3,0.22782546235936066,0,,0.057,8.5,9.75,204.6,,,,,,
beno udrih,Late (8+ yrs),25–50%,8,0.12918349563629744,2,160.5,0.093,,,199.0,,,,,,2.0
bernard james,Early (1–3 yrs),Bottom 25%,3,0.0886231884057971,2,4.5,0.05,9.0,9.25,229.8,11.84,,3.4,30.0,32.5,6.0
bilal coulibaly,Early (1–3 yrs),25–50%,2,0.1709039548022599,0,,,,,,,,,,,
blake griffin,Late (8+ yrs),Top 25%,13,0.33975605041172174,6,74.0,0.082,,,248.4,10.95,,3.28,32.0,35.5,22.0
blake wesley,Early (1–3 yrs),Bottom 25%,3,0.09035312870813154,0,,0.056,8.25,9.0,187.2,11.55,3.25,3.21,30.0,36.0,
